========================================================================================================================
КВАЗИПАРАЛЛЕЛЬНАЯ ТРАССА (t | процесс | действие | склад | состояния самолётов)
========================================================================================================================
t=    0.000 | DISPATCHER       | старт прогона, попытка назначения                       | склад[шт]=   0 вес=     0.0 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.130 | CONTAINER_FLOW   | поступил контейнер весом 13.0 т                         | склад[шт]=   1 вес=    13.0 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.481 | CONTAINER_FLOW   | поступил контейнер весом 11.4 т                         | склад[шт]=   2 вес=    24.5 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.737 | CONTAINER_FLOW   | поступил контейнер весом 17.3 т                         | склад[шт]=   3 вес=    41.8 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.757 | CONTAINER_FLOW   | поступил контейнер весом 20.1 т                         | склад[шт]=   4 вес=    61.9 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.770 | CONTAINER_FLOW   | поступил контейнер весом 18.7 т                         | склад[шт]=   5 вес=    80.6 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.794 | CONTAINER_FLOW   | поступил контейнер весом 11.8 т                         | склад[шт]=   6 вес=    92.4 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.978 | CONTAINER_FLOW   | поступил контейнер весом 26.5 т                         | склад[шт]=   7 вес=   119.0 т | N0:ГОТОВ N1:ГОТОВ H2:ГОТОВ
t=    0.978 | PLANE_0          | назначен (normal), 100.0 т                              | склад[шт]=   7 вес=   119.0 т | N0:ЗАГРУЗКА N1:ГОТОВ H2:ГОТОВ
t=    0.978 | PLANE_0          | взят контейнер на загрузку (загружено 0/100.0 т)        | склад[шт]=   7 вес=   119.0 т | N0:ЗАГРУЗКА N1:ГОТОВ H2:ГОТОВ
t=    1.016 | PLANE_0          | загружен контейнер 13.0 т, уже 13/100.0 т               | склад[шт]=   6 вес=   105.9 т | N0:ЗАГРУЗКА N1:ГОТОВ H2:ГОТОВ
t=    1.016 | PLANE_0          | взят контейнер на загрузку (загружено 13/100.0 т)       | склад[шт]=   6 вес=   105.9 т | N0:ЗАГРУЗКА N1:ГОТОВ H2:ГОТОВ
t=    1.016 | PLANE_1          | назначен (normal), 100.0 т                              | склад[шт]=   6 вес=   105.9 т | N0:ЗАГРУЗКА N1:ЗАГРУЗКА H2:ГОТОВ
t=    1.016 | PLANE_1          | взят контейнер на загрузку (загружено 0/100.0 т)        | склад[шт]=   6 вес=   105.9 т | N0:ЗАГРУЗКА N1:ЗАГРУЗКА H2:ГОТОВ
